V1,V2,V3
140.033333333333,-0.0333333333333333,-3085
140.1,-0.0333333333333333,-3144
140.166666666667,-0.0333333333333333,-3176
140.233333333333,-0.0333333333333333,-3221
140.3,-0.0333333333333333,-3272
140.366666666667,-0.0333333333333333,-3250
140.433333333333,-0.0333333333333333,-3252
140.5,-0.0333333333333333,-3242
140.566666666667,-0.0333333333333333,-3135
140.633333333333,-0.0333333333333333,-3165
140.7,-0.0333333333333333,-3193
140.766666666667,-0.0333333333333333,-3186
140.833333333333,-0.0333333333333333,-3147
140.9,-0.0333333333333333,-3099
140.966666666667,-0.0333333333333333,-3020
141.033333333333,-0.0333333333333333,-3044
141.1,-0.0333333333333333,-3213
141.166666666667,-0.0333333333333333,-3128
141.233333333333,-0.0333333333333333,-3057
141.3,-0.0333333333333333,-3289
141.366666666667,-0.0333333333333333,-3234
141.433333333333,-0.0333333333333333,-3137
141.5,-0.0333333333333333,-3261
141.566666666667,-0.0333333333333333,-3403
141.633333333333,-0.0333333333333333,-3327
141.7,-0.0333333333333333,-3162
141.766666666667,-0.0333333333333333,-3093
141.833333333333,-0.0333333333333333,-3259
141.9,-0.0333333333333333,-3377
141.966666666667,-0.0333333333333333,-3351
142.033333333333,-0.0333333333333333,-3285
142.1,-0.0333333333333333,-3263
142.166666666667,-0.0333333333333333,-3101
142.233333333333,-0.0333333333333333,-3167
142.3,-0.0333333333333333,-3223
142.366666666667,-0.0333333333333333,-3327
142.433333333333,-0.0333333333333333,-3338
142.5,-0.0333333333333333,-3280
142.566666666667,-0.0333333333333333,-3158
142.633333333333,-0.0333333333333333,-3191
142.7,-0.0333333333333333,-3155
142.766666666667,-0.0333333333333333,-3139
142.833333333333,-0.0333333333333333,-3144
142.9,-0.0333333333333333,-3164
142.966666666667,-0.0333333333333333,-3052
143.033333333333,-0.0333333333333333,-2927
143.1,-0.0333333333333333,-2954
143.166666666667,-0.0333333333333333,-2950
143.233333333333,-0.0333333333333333,-2872
143.3,-0.0333333333333333,-2836
143.366666666667,-0.0333333333333333,-3001
143.433333333333,-0.0333333333333333,-3115
143.5,-0.0333333333333333,-3265
143.566666666667,-0.0333333333333333,-3395
143.633333333333,-0.0333333333333333,-3468
143.7,-0.0333333333333333,-3473
143.766666666667,-0.0333333333333333,-3550
143.833333333333,-0.0333333333333333,-3741
143.9,-0.0333333333333333,-3738
143.966666666667,-0.0333333333333333,-3714
144.033333333333,-0.0333333333333333,-3641
144.1,-0.0333333333333333,-3646
144.166666666667,-0.0333333333333333,-3596
144.233333333333,-0.0333333333333333,-3581
144.3,-0.0333333333333333,-3591
144.366666666667,-0.0333333333333333,-3690
144.433333333333,-0.0333333333333333,-3726
144.5,-0.0333333333333333,-3801
144.566666666667,-0.0333333333333333,-3847
144.633333333333,-0.0333333333333333,-3925
144.7,-0.0333333333333333,-3956
144.766666666667,-0.0333333333333333,-3914
144.833333333333,-0.0333333333333333,-3917
144.9,-0.0333333333333333,-3892
144.966666666667,-0.0333333333333333,-3838
145.033333333333,-0.0333333333333333,-3787
145.1,-0.0333333333333333,-3859
145.166666666667,-0.0333333333333333,-3881
145.233333333333,-0.0333333333333333,-3669
145.3,-0.0333333333333333,-3685
145.366666666667,-0.0333333333333333,-3922
145.433333333333,-0.0333333333333333,-3714
145.5,-0.0333333333333333,-3649
145.566666666667,-0.0333333333333333,-3689
145.633333333333,-0.0333333333333333,-3585
145.7,-0.0333333333333333,-3730
145.766666666667,-0.0333333333333333,-3737
145.833333333333,-0.0333333333333333,-3821
145.9,-0.0333333333333333,-3910
145.966666666667,-0.0333333333333333,-4061
146.033333333333,-0.0333333333333333,-4038
146.1,-0.0333333333333333,-3944
146.166666666667,-0.0333333333333333,-4075
146.233333333333,-0.0333333333333333,-3959
146.3,-0.0333333333333333,-3893
146.366666666667,-0.0333333333333333,-3993
146.433333333333,-0.0333333333333333,-4142
146.5,-0.0333333333333333,-4221
146.566666666667,-0.0333333333333333,-4314
146.633333333333,-0.0333333333333333,-4439
146.7,-0.0333333333333333,-4634
146.766666666667,-0.0333333333333333,-4612
146.833333333333,-0.0333333333333333,-4529
146.9,-0.0333333333333333,-4750
146.966666666667,-0.0333333333333333,-4724
147.033333333333,-0.0333333333333333,-4677
147.1,-0.0333333333333333,-4724
147.166666666667,-0.0333333333333333,-4779
147.233333333333,-0.0333333333333333,-4791
147.3,-0.0333333333333333,-4915
147.366666666667,-0.0333333333333333,-4868
147.433333333333,-0.0333333333333333,-4865
147.5,-0.0333333333333333,-4933
147.566666666667,-0.0333333333333333,-4842
147.633333333333,-0.0333333333333333,-4920
147.7,-0.0333333333333333,-4938
147.766666666667,-0.0333333333333333,-4947
147.833333333333,-0.0333333333333333,-4903
147.9,-0.0333333333333333,-4730
147.966666666667,-0.0333333333333333,-4637
148.033333333333,-0.0333333333333333,-4583
148.1,-0.0333333333333333,-4600
148.166666666667,-0.0333333333333333,-4480
148.233333333333,-0.0333333333333333,-4496
148.3,-0.0333333333333333,-4441
148.366666666667,-0.0333333333333333,-4364
148.433333333333,-0.0333333333333333,-4406
148.5,-0.0333333333333333,-4515
148.566666666667,-0.0333333333333333,-4519
148.633333333333,-0.0333333333333333,-4601
148.7,-0.0333333333333333,-4745
148.766666666667,-0.0333333333333333,-4846
148.833333333333,-0.0333333333333333,-4954
148.9,-0.0333333333333333,-5256
148.966666666667,-0.0333333333333333,-5541
149.033333333333,-0.0333333333333333,-5937
149.1,-0.0333333333333333,-6658
149.166666666667,-0.0333333333333333,-7180
149.233333333333,-0.0333333333333333,-6967
149.3,-0.0333333333333333,-5599
149.366666666667,-0.0333333333333333,-3313
149.433333333333,-0.0333333333333333,-2720
149.5,-0.0333333333333333,-3275
149.566666666667,-0.0333333333333333,-4207
149.633333333333,-0.0333333333333333,-4451
149.7,-0.0333333333333333,-4483
149.766666666667,-0.0333333333333333,-4466
149.833333333333,-0.0333333333333333,-4284
149.9,-0.0333333333333333,-4985
149.966666666667,-0.0333333333333333,-5210
150.033333333333,-0.0333333333333333,-5228
150.1,-0.0333333333333333,-5257
